business name,address,external link,phone number,industry,additional_info,emails,business hours
Jeff Coffin Construction,"2745 Sherwin Ave Ste 14 Ventura, CA 93003",,(805) 644-5686,Construction,"Construction Consultants, Construction Management, Construction & Remodeling",[],
Laubach Construction Inc,"9841 Irvine Center Dr Ste 120 Irvine, CA 92618",,(949) 788-0299,Construction,"Business Management Consultants, General Contractors, Construction Consultants, Construction & Remodeling, Construction Management, Other Nonresidential Construction",[],Business Hours: Mon-Fri 7am-5pm
Oasis Home Construction,"1236 N Orchard Dr Burbank, CA 91506",,(888) 841-5597,Construction,"Construction Consultants, Home Builders, General Contractors, Construction & Remodeling, Construction Companies, Other Nonresidential Construction",[],"Business Hours: Mon-Sat 8am-6pm, Sun Closed"
Westcoast Construction-Mechcl,"3143 Petrol Rd Bakersfield, CA 93308",,(661) 387-9826,Construction,"Construction Consultants, Construction Companies",[],
Carl Crutchfield Construction,"2655 E Miner Ave Ste B Stockton, CA 95205",,(209) 943-6812,Construction,"Engineering, Government Contractors, Construction & Remodeling, Excavating Contractors, Construction Management, Excavation Work, Construction Consultants",[],
Metro Construction & Mntnc,"6910 Oslo Cir Buena Park, CA 90621",,(714) 690-1260,Construction,"Construction Consultants, Construction Companies",[],
Mike Callahan Construction,"PO Box 5201 Sonora, CA 95370",,(209) 401-7504,Construction,"Gazebo Builders, Dock Builders, Home Builders, Wood Siding Installation, Cabinet Makers, Basement Remodeling, Framing Contractors, Patio & Deck Cleaning & Restoration, Disability Remodeling, Log Home Manufacturers, Real Estate Agents, Carport Construction, Home Remodeling Contractors, Cabinet Installation, Kitchen Remodeling, Sun Rooms, Handyman, Deck Builders, Home Repair & Service, Garage Builders, Other Nonresidential Construction, Water Damage Restoration, Timber Frame Homes, Stair Builders, Bathroom Remodeling, Construction Management, Door Hanging, Door Repair, General Contractors, Fire Damage Restoration, Pool Enclosures",[],
Shamszad Construction & Devel,"64 Shattuck Sq Berkeley, CA 94704",,(510) 848-4100,Construction,"Construction Consultants, Real Estate Consultants, Construction Management, Property Management, Construction Companies, General Contractors",[],Business Hours: By appointment
Nelmar Construction Inc.,"9100 Sunset Ave Fair Oaks, CA 95628",,(916) 989-4770,Construction,"Other Nonresidential Construction, Home Repair & Service, Residential Construction, Construction Consultants, Home Repair & Service, Fixtures, Deck Builders, Fire Damage Restoration, General Contractors, Construction Companies, Home Remodeling Contractors, Painters, Construction Management, Other Contractors, Home Improvement Stores, Construction & Remodeling",[],Business Hours: Mon-Thu 8am-4:30pm
Dash Construction Inc,"20501 Ventura Blvd Woodland Hills, CA 91364",,(818) 715-9556,Construction,"Construction Companies, Construction Consultants",[],
Estrin Hinds Construction,"9231 W Olympic Blvd Beverly Hills, CA 90212",,(310) 858-1912,Construction,"Construction Management, Construction Consultants, General Contractors",[],
Point Construction Inc,"124 Washington Ave Richmond, CA 94801",,(510) 307-5912,Construction,"Construction Companies, Construction Consultants",[],
Granite Construction Co,"900 Elkhorn Blvd Rio Linda, CA 95673",,(916) 991-3017,Construction,"General Contractors, Asphalt Paving Contractors, Construction & Remodeling, Wholesale Sand & Gravel, Road Construction, Construction Companies, Paving Contractors, Residential Construction, Asphalt Manufacturers",[],
Allure Construction INC,"10638 La Reina Ave Downey, CA 90241",,(562) 923-1454,Construction,"Construction Companies, Construction Consultants",[],
Granite Construction Co.,"38000 Monroe St Indio, CA 92203",,(760) 775-7500,Construction,"Culverts, Concrete Contractors, Construction Companies, Paving Contractors, Wholesale Sand & Gravel, Road Construction, Asphalt Paving Contractors, Residential Construction, Asphalt Paving Manufacturers, Masonry, General Contractors, Concrete Contractors, Ready Mixed Concrete",[],
Weideman Construction INC,"2420 Sand Creek Rd Ste C1 Brentwood, CA 94513",,(925) 240-1516,Construction,"Construction Consultants, Construction Management",[],
